Notification Date,Region,Client Name,Client Address 1,Client Address 2,Client Address 3,Client City,Client Province,Client Postal Code,Client Contact Name,Client Contact Phone,Jursidiction Code,Application Number,Species Enduse,Product Type,Product Location,Exemption Application Volume,Average Log Volume,Agent Name,Agent Phone,Agent Contact Name,Package Number,Package Volume,Age Class,Average Length,Average Diameter
2016-10-12,West Coast Natural Resource Region,WESTERN FOREST PRODUCTS INC.,201 495 DUNSMUIR STREET,,,NANAIMO,BC,V9R6B9,WFP EXPORT TEAM WFP,2507344700,P,173935,FI / Gang,Harvested Timber,ALBERNI CANAL C/O ABSEA TOWING,1009.9,0.5,,,,SR109-16-003,1009.9,S,10.2,9.9
2016-10-12,West Coast Natural Resource Region,WESTERN FOREST PRODUCTS INC.,201 495 DUNSMUIR STREET,,,NANAIMO,BC,V9R6B9,WFP EXPORT TEAM WFP,2507344700,P,173936,BA / HE / Sawlog,Harvested Timber,ZEBALLOS,1011.2,1.7,,,,ZB206-16-012,1011.2,O,10.1,20.3
2016-10-12,West Coast Natural Resource Region,WESTERN FOREST PRODUCTS INC.,201 495 DUNSMUIR STREET,,,NANAIMO,BC,V9R6B9,WFP EXPORT TEAM WFP,2507344700,P,173926,BA / HE / Sawlog,Harvested Timber,MUCHALAT TIE UP / GOLD RIVER,739.2,1.7,,,,GR206-16-042,739.2,O,10.7,19.3
2016-10-12,West Coast Natural Resource Region,WESTERN FOREST PRODUCTS INC.,201 495 DUNSMUIR STREET,,,NANAIMO,BC,V9R6B9,WFP EXPORT TEAM WFP,2507344700,P,173927,BA / HE / Sawlog,Harvested Timber,LYONS BAY/QUATSINO SOUND,682.7,1.4,,,,QD206-16-068,682.7,O,11.1,17.6
2016-10-12,West Coast Natural Resource Region,WESTERN FOREST PRODUCTS INC.,201 495 DUNSMUIR STREET,,,NANAIMO,BC,V9R6B9,WFP EXPORT TEAM WFP,2507344700,P,173928,BA / HE / Gang,Harvested Timber,LYONS BAY/QUATSINO SOUND,643.7,0.8,,,,QD207-16-114,643.7,O,10.8,12.8
2016-10-12,West Coast Natural Resource Region,WESTERN FOREST PRODUCTS INC.,201 495 DUNSMUIR STREET,,,NANAIMO,BC,V9R6B9,WFP EXPORT TEAM WFP,2507344700,P,173929,SP / Sawlog,Harvested Timber,LYONS BAY/QUATSINO SOUND,383,1.7,,,,QD604-16-008,383,O,11.6,19.1
2016-10-12,West Coast Natural Resource Region,CRIBCO FOREST PRODUCTS LIMITED PARTNERSHIP,1400 WEIWAIKUM  ROAD,,,CAMPBELL RIVER,BC,V9W5W8,CRIBCO FOREST PRODUCTS LTD.,2502866949,P,173909,BA / HE / Sawlog,Harvested Timber,Blind Bay C/O Thunder Bay Tugs,680.4,1.5,0967625 B.C. LTD.,6048130779,Log Sales,CRIB-16-10,680.4,S,11.7,18
2016-10-12,West Coast Natural Resource Region,WESTERN FOREST PRODUCTS INC.,201 495 DUNSMUIR STREET,,,NANAIMO,BC,V9R6B9,WFP EXPORT TEAM WFP,2507344700,P,174030,HE / Sawlog,Harvested Timber,LYONS BAY/QUATSINO SOUND,706.3,1.3,,,,QD204-16-006,706.3,O,11.3,17.1
2016-10-12,West Coast Natural Resource Region,WESTERN FOREST PRODUCTS INC.,201 495 DUNSMUIR STREET,,,NANAIMO,BC,V9R6B9,WFP EXPORT TEAM WFP,2507344700,P,174031,BA / HE / Gang,Harvested Timber,LYONS BAY/QUATSINO SOUND,619.6,0.8,,,,QD207-16-115,619.6,O,11.2,12.8
2016-10-12,West Coast Natural Resource Region,WESTERN FOREST PRODUCTS INC.,201 495 DUNSMUIR STREET,,,NANAIMO,BC,V9R6B9,WFP EXPORT TEAM WFP,2507344700,P,174032,BA / HE / Chip and Saw,Harvested Timber,LYONS BAY/QUATSINO SOUND,689.6,0.4,,,,QD210-16-006,689.6,O,11.4,8.9
2016-10-12,West Coast Natural Resource Region,WESTERN FOREST PRODUCTS INC.,201 495 DUNSMUIR STREET,,,NANAIMO,BC,V9R6B9,WFP EXPORT TEAM WFP,2507344700,P,174033,BA / HE / Chip and Saw,Harvested Timber,LYONS BAY/QUATSINO SOUND,300.6,0.4,,,,QD212-16-023,300.6,O,11.3,9.3
2016-10-12,South Coast Natural Resource Region,INTERFOR CORPORATION,"SUITE 1600-4720 KINGSWAY, METROTOWER II",,,BURNABY,BC,V5H4N2,Cheryl Heinzl,6044223428,P,174034,HE / Sawlog,Harvested Timber,PORT ALBERNI c/o AB Sea Towing,227.6,5.3,,,,ICC16-19,227.6,S,9.7,39
2016-10-12,South Coast Natural Resource Region,S.A. MOWAT LIMITED,103-304 COLUMBIA STREET,,,NEW WESTMINSTER,BC,V3L1A6,SUE COXE,6045496661,P,173911,BA / HE / Sawlog,Harvested Timber,SQUAMISH MILLS,445.9,1.6,,,,MS-16-172,445.9,O,9.8,19.7
2016-10-12,South Coast Natural Resource Region,INTERFOR CORPORATION,"SUITE 1600-4720 KINGSWAY, METROTOWER II",,,BURNABY,BC,V5H4N2,Cheryl Heinzl,6044223428,P,174001,HE / Chip and Saw,Harvested Timber,HS AVALON c/o Active Marine,307,0.4,,,,AVA16-927,307,S,9.8,8.7
2016-10-12,South Coast Natural Resource Region,INTERFOR CORPORATION,"SUITE 1600-4720 KINGSWAY, METROTOWER II",,,BURNABY,BC,V5H4N2,Cheryl Heinzl,6044223428,P,174002,BA / HE / Sawlog,Harvested Timber,HS AVALON c/o Active Marine,689,1.6,,,,AVA16-928,689,S,10.2,19.1
2016-10-12,South Coast Natural Resource Region,INTERFOR CORPORATION,"SUITE 1600-4720 KINGSWAY, METROTOWER II",,,BURNABY,BC,V5H4N2,Cheryl Heinzl,6044223428,P,174003,BA / HE / Utility,Harvested Timber,HS AVALON c/o Active Marine,475.5,0.4,,,,AVA16-932,475.5,S,8.3,8.8
